date_ref,final_value,var_name,smooth_volatility
2020-01-01,3.3529465129350795,BONO_10Y_ITA,15
2022-01-01,3.3525173697774626,ESTR,40
2022-01-01,3.343520943275207,FACILIDAD_DEPOSITO,30
2022-01-01,3.3406170909487853,ESTR,35
2019-01-01,3.3330489293930334,BONO_10Y_POR,30
2018-01-01,3.3319997420277785,BONO_10Y_ESP,20
2022-01-01,3.3317772837283983,EURIBOR_6M,40
2018-01-01,3.3296041826414413,BONO_10Y_ALE,25
2020-01-01,3.3281280040413463,BONO_10Y_ESP,15
2018-01-01,3.3278448677101418,BONO_10Y_ITA,25
2015-01-01,3.3250360921481517,BONO_10Y_ALE,25
2020-01-01,3.324213229659017,BONO_10Y_POR,20
2019-01-01,3.324211829873925,BONO_10Y_ITA,35
2015-01-01,3.322557836657224,BONO_10Y_ESP,25
2018-01-01,3.320580206338892,BONO_10Y_POR,40
2022-01-01,3.318713504424331,EURIBOR_3M,40
2022-01-01,3.3180218278440936,FACILIDAD_DEPOSITO,25
2022-01-01,3.3160704760372695,EURIBOR_6M,35
2022-01-01,3.309405039509836,ESTR,30
2017-01-01,3.3076343623348317,BONO_10Y_ITA,25
2017-01-01,3.3033513765831786,BONO_10Y_ESP,20
2022-01-01,3.298614201259027,EURIBOR_3M,35
2022-01-01,3.2954606887220868,EURIBOR_6M,30
2020-01-01,3.29338313884681,BONO_10Y_ALE,25
2022-01-01,3.291310368675342,FACILIDAD_DEPOSITO,20
2021-01-01,3.286222035018693,BONO_10Y_POR,30
2022-01-01,3.280436215298669,EURIBOR_3M,30
2021-01-01,3.2761210918666244,BONO_10Y_ITA,10
2021-01-01,3.2743016954021695,BONO_10Y_ESP,20
2022-01-01,3.2716700920258934,BONO_10Y_ITA,5
2022-01-01,3.2706860966559126,EURIBOR_6M,25
2023-01-01,3.268229115031056,FACILIDAD_DEPOSITO,35
2023-01-01,3.267080980711442,FACILIDAD_DEPOSITO,30
2022-01-01,3.2657899395907983,EURIBOR_1M,40
2022-01-01,3.264258671362314,FACILIDAD_DEPOSITO,15
2023-01-01,3.2641266357736627,FACILIDAD_DEPOSITO,40
2022-01-01,3.2597297208550717,EURIBOR_3M,25
2023-01-01,3.259361034941914,FACILIDAD_DEPOSITO,25
2022-01-01,3.2538698162440847,EURIBOR_1M,35
2019-01-01,3.253382838964991,BONO_10Y_ALE,20
2022-01-01,3.25327384559787,ESTR,25
2022-01-01,3.252069539390873,EURIBOR_12M,40
2022-01-01,3.2422425321107085,EURIBOR_6M,20
2023-01-01,3.2399744205196495,FACILIDAD_DEPOSITO,20
2022-01-01,3.237329043956787,FACILIDAD_DEPOSITO,10
2016-01-01,3.2367645136978465,BONO_10Y_ITA,20
2022-01-01,3.23482736160913,EURIBOR_1M,30
2019-01-01,3.2337717178600167,BONO_10Y_ITA,30
2022-01-01,3.232010186687233,EURIBOR_3M,20
2018-01-01,3.227732822633116,BONO_10Y_POR,35
2022-01-01,3.2270010354045384,EURIBOR_12M,35
2023-01-01,3.221347653914243,FACILIDAD_DEPOSITO,15
2024-01-01,3.220982820363584,BONO_10Y_ITA,40
2022-01-01,3.2203976851179212,BONO_10Y_ESP,40
2020-01-01,3.2180857447284184,CURVA_EUR_20Y,40
2022-01-01,3.206120420395055,EURIBOR_6M,15
2022-01-01,3.2056051824064653,EURIBOR_1M,25
2022-01-01,3.2021490910827715,FACILIDAD_DEPOSITO,5
2023-01-01,3.2006683522265518,FACILIDAD_DEPOSITO,10
2022-01-01,3.1993877429727027,EURIBOR_3M,15
2022-01-01,3.1991603361743572,EURIBOR_12M,30
2019-01-01,3.19868333809959,BONO_10Y_POR,25
2021-01-01,3.197718449188374,BONO_10Y_POR,25
2017-01-01,3.1969778782496223,BONO_10Y_ALE,20
2022-01-01,3.1935293284715236,BONO_10Y_ESP,35
2021-01-01,3.1931731686367932,FACILIDAD_DEPOSITO,40
2015-01-01,3.189631516968705,BONO_10Y_ITA,20
2016-01-01,3.187971458150462,BONO_10Y_ESP,20
2016-01-01,3.181691391742585,BONO_10Y_ALE,20
2022-01-01,3.1801001010401992,CURVA_EUR_1Y,40
2023-01-01,3.1745140535758796,ESTR,30
2023-01-01,3.1731644658618947,FACILIDAD_DEPOSITO,5
2022-01-01,3.173150226161843,ESTR,20
2023-01-01,3.172511716415643,ESTR,25
2019-01-01,3.1720693958133386,BONO_10Y_ESP,15
2021-01-01,3.1691614969306423,ESTR,40
2015-01-01,3.168438514418332,BONO_10Y_ESP,20
2018-01-01,3.1677277045390797,BONO_10Y_ALE,20
2022-01-01,3.166204081943224,BONO_10Y_ESP,30
2022-01-01,3.164902932591382,EURIBOR_1M,20
2022-01-01,3.1637652185410077,EURIBOR_12M,25
2021-01-01,3.1615698824087666,FACILIDAD_DEPOSITO,35
2018-01-01,3.1584721603040244,BONO_10Y_ITA,20
2024-01-01,3.1571443951593356,BONO_10Y_POR,40
